layout,problem,m,n,k,required,threads,blas,impl,time_ms,gflops,speedup,correct,timestamp,hostname,file
row-major,442x193x11,442,193,11,False,4,mkl,reference,0.011369,165.075458,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,442x193x11,442,193,11,False,8,mkl,reference,0.009055,207.255617,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,442x193x11,442,193,11,False,16,mkl,reference,0.01539,121.941849,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,442x193x11,442,193,11,False,24,mkl,reference,0.017418,107.74402,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,442x193x11,442,193,11,False,48,mkl,reference,0.019648,95.515807,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,442x193x11,442,193,11,False,96,mkl,reference,0.01731,108.416446,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
row-major,40x1127228x40,40,1127228,40,False,1,mkl,reference,122.944751,29.339436,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,40x1127228x40,40,1127228,40,False,2,mkl,reference,63.751118,56.581433,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
row-major,40x1127228x40,40,1127228,40,False,4,mkl,reference,33.033874,109.19487,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,40x1127228x40,40,1127228,40,False,8,mkl,reference,17.833649,202.265371,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,40x1127228x40,40,1127228,40,False,16,mkl,reference,12.462225,289.445071,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,40x1127228x40,40,1127228,40,False,24,mkl,reference,11.459561,314.770308,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,40x1127228x40,40,1127228,40,False,48,mkl,reference,15.741616,229.146082,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,40x1127228x40,40,1127228,40,False,96,mkl,reference,8.383392,430.270874,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
col-major,16x12344x16,16,12344,16,False,1,mkl,reference,0.130051,48.597477,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,16x12344x16,16,12344,16,False,2,mkl,reference,0.069203,91.326824,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,16x12344x16,16,12344,16,False,4,mkl,reference,0.025098,251.819603,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,16x12344x16,16,12344,16,False,8,mkl,reference,0.014313,441.564614,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,16x12344x16,16,12344,16,False,16,mkl,reference,0.011161,566.256333,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,16x12344x16,16,12344,16,False,24,mkl,reference,0.008907,709.570021,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,16x12344x16,16,12344,16,False,48,mkl,reference,0.009207,686.478758,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,16x12344x16,16,12344,16,False,96,mkl,reference,0.009986,632.903926,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,4x64x606841,4,64,606841,False,1,mkl,reference,33.345518,9.317672,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,4x64x606841,4,64,606841,False,2,mkl,reference,18.155733,17.113195,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,4x64x606841,4,64,606841,False,4,mkl,reference,9.516749,32.647975,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,4x64x606841,4,64,606841,False,8,mkl,reference,5.070795,61.272952,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,4x64x606841,4,64,606841,False,16,mkl,reference,3.137436,99.030748,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,4x64x606841,4,64,606841,False,24,mkl,reference,2.911932,106.69981,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,4x64x606841,4,64,606841,False,48,mkl,reference,4.379068,70.951757,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,4x64x606841,4,64,606841,False,96,mkl,reference,1.506129,206.292101,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,442x193x11,442,193,11,False,1,mkl,reference,0.029667,63.260313,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,442x193x11,442,193,11,False,2,mkl,reference,0.030966,60.606741,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,442x193x11,442,193,11,False,4,mkl,reference,0.021453,87.482554,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,442x193x11,442,193,11,False,8,mkl,reference,0.015044,124.751635,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,442x193x11,442,193,11,False,16,mkl,reference,0.010875,172.570727,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,442x193x11,442,193,11,False,24,mkl,reference,0.010175,184.45086,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,442x193x11,442,193,11,False,48,mkl,reference,0.014509,129.352996,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,442x193x11,442,193,11,False,96,mkl,reference,0.017621,106.505446,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,40x1127228x40,40,1127228,40,False,1,mkl,reference,84.487439,42.694271,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,40x1127228x40,40,1127228,40,False,2,mkl,reference,43.069531,83.75131,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,40x1127228x40,40,1127228,40,False,4,mkl,reference,22.379842,161.177614,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,40x1127228x40,40,1127228,40,False,8,mkl,reference,12.994684,277.585019,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,40x1127228x40,40,1127228,40,False,16,mkl,reference,10.502826,343.443728,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,40x1127228x40,40,1127228,40,False,24,mkl,reference,10.182752,354.239152,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,40x1127228x40,40,1127228,40,False,48,mkl,reference,15.290829,235.901506,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,40x1127228x40,40,1127228,40,False,96,mkl,reference,4.330514,832.956422,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
